p,h_min,kc,shell,k_rms,X,gamma_crit,gamma_poisson,fail_prob,Ij_over_Ic,I_total,t_star
1.0,0.8,1,5-6,5.4438,29.635,0.006275055120544135,0.0039101350386792945,0.75,1.67,160.0,91.629
1.0,0.8,1,6-8,7.037,49.52,0.006275055120544135,0.0039101350386792945,0.63,1.67,160.0,91.629
1.0,0.8,1,8-10,9.0191,81.345,0.004577907563229359,0.0039101350386792945,0.62,1.67,160.0,91.629
1.0,0.8,1,10-12,11.034,121.75,0.004577907563229359,0.0039101350386792945,0.56,1.67,160.0,91.629
1.0,0.8,2,3-4,3.4081,2.9037,0.004577907563229359,0.0039101350386792945,0.52,1.47,160.0,26.115
1.0,0.8,2,5-6,5.4438,7.4088,0.006275055120544135,0.0039101350386792945,0.64,1.66,160.0,22.976
1.0,0.8,2,6-8,7.037,12.38,0.004577907563229359,0.0039101350386792945,0.59,1.67,160.0,22.908
1.0,0.8,2,8-10,9.0191,20.3362,0.004577907563229359,0.0039101350386792945,0.53,1.67,160.0,22.907
1.0,0.8,2,10-12,11.034,30.4375,0.004577907563229359,0.0039101350386792945,0.61,1.67,160.0,22.907
1.5,0.6,1,3-4,3.4081,11.615,0.005734503901430274,0.003573304808274139,0.72,5.68,400.8,91.635
1.5,0.6,1,5-6,5.4438,29.635,0.002774373813497461,0.002369680057693904,0.53,9.07,604.38,91.629
1.5,0.6,1,6-8,7.037,49.52,0.0021955836855871427,0.001875317179473767,0.51,11.73,763.7,91.629
1.5,0.6,1,8-10,9.0191,81.345,0.0023894025948783064,0.0014888931855206932,0.79,15.03,961.91,91.629
1.5,0.6,1,10-12,11.034,121.75,0.0019755834257678814,0.0012310326884043727,0.69,18.39,1163.4,91.629
1.5,0.6,2,3-4,3.4081,2.9037,0.0036931268285273922,0.0031544159455078095,0.53,2.5,454.03,26.115
1.5,0.6,2,5-6,5.4438,7.4088,0.0034614463456852816,0.0021569089642671977,0.77,4.52,664.0,22.976
1.5,0.6,2,6-8,7.037,12.38,0.0027903428964726504,0.0017387285561376044,0.65,5.86,823.7,22.908
1.5,0.6,2,8-10,9.0191,20.3362,0.0016408191685838812,0.0014014753322565104,0.51,7.52,1021.91,22.907
1.5,0.6,2,10-12,11.034,30.4375,0.0013705835070989703,0.0011706585422539978,0.53,9.2,1223.4,22.907
1.5,0.7,1,3-4,3.4081,11.615,0.005488406955759861,0.0024949967912162407,0.66,5.68,400.8,91.635
1.5,0.7,1,5-6,5.4438,29.635,0.00363970307863389,0.0016545871279900674,0.72,9.07,604.38,91.629
1.5,0.7,1,6-8,7.037,49.52,0.002101359939597192,0.0013094070045369555,0.59,11.73,763.7,91.629
1.5,0.7,1,8-10,9.0191,81.345,0.0016683580402491584,0.0010395932951860467,0.5,15.03,961.91,91.629
1.5,0.7,1,10-12,11.034,121.75,0.0013794161350740007,0.0008595467703564507,0.55,18.39,1163.4,91.629
1.5,0.7,2,3-4,3.4081,2.9037,0.00353463583295107,0.002202515062241378,0.51,2.5,454.03,26.115
1.5,0.7,2,5-6,5.4438,7.4088,0.0024168936009752793,0.0015060234806533034,0.55,4.52,664.0,22.976
1.5,0.7,2,6-8,7.037,12.38,0.002670594985232456,0.0012140364175802368,0.56,5.86,823.7,22.908
1.5,0.7,2,8-10,9.0191,20.3362,0.0015704032105992268,0.000978555327508587,0.5,7.52,1021.91,22.907
1.5,0.7,2,10-12,11.034,30.4375,0.0017980695269121931,0.0008173915921671151,0.68,9.2,1223.4,22.907
1.5,0.8,1,3-4,3.4081,11.615,0.002504998782474024,0.0015609238999563248,0.67,5.68,400.8,91.635
1.5,0.8,1,5-6,5.4438,29.635,0.0012119275083596285,0.0010351454565922728,0.55,9.07,604.38,91.629
1.5,0.8,1,6-8,7.037,49.52,0.0009590950767064364,0.0008191933133331275,0.55,11.73,763.7,91.629
1.5,0.8,1,8-10,9.0191,81.345,0.001043760836838489,0.0006503920271172845,0.66,15.03,961.91,91.629
1.5,0.8,1,10-12,11.034,121.75,0.0006295881057542665,0.0005377510310647013,0.56,18.39,1163.4,91.629
1.5,0.8,2,3-4,3.4081,2.9037,0.0016132656578498217,0.0013779410108942269,0.51,2.5,454.03,26.115
1.5,0.8,2,5-6,5.4438,7.4088,0.0011031098051974024,0.0009422008289241968,0.54,4.52,664.0,22.976
1.5,0.8,2,6-8,7.037,12.38,0.0008892394396922311,0.0007595274135381075,0.54,5.86,823.7,22.908
1.5,0.8,2,8-10,9.0191,20.3362,0.000716757733574391,0.0006122053557404189,0.51,7.52,1021.91,22.907
1.5,0.8,2,10-12,11.034,30.4375,0.000598710904304308,0.0005113778407767189,0.52,9.2,1223.4,22.907
2.0,0.6,1,3-4,3.4081,11.615,0.0018816610445406895,0.0011725074345703007,0.71,19.36,1221.47,91.635
2.0,0.6,1,5-6,5.4438,29.635,0.0005545814798849111,0.0004736855094494102,0.52,49.39,3023.5,91.629
2.0,0.6,1,6-8,7.037,49.52,0.00033455249489813853,0.00028575182318797015,0.5,82.53,5012.0,91.629
2.0,0.6,1,8-10,9.0191,81.345,0.0002046222593726854,0.00017477431665362215,0.63,135.57,8194.5,91.629
2.0,0.6,1,10-12,11.034,121.75,0.00013704757698647084,0.00011705665204888488,0.56,202.92,12235.0,91.629
2.0,0.6,2,3-4,3.4081,2.9037,0.0016840259568284863,0.0010493563440235555,0.69,4.26,1364.83,26.115
2.0,0.6,2,5-6,5.4438,7.4088,0.0007180999383961298,0.00044746503041915447,0.7,12.31,3200.67,22.976
2.0,0.6,2,6-8,7.037,12.38,0.000442685895923929,0.00027584803631672207,0.71,20.63,5191.95,22.908
2.0,0.6,2,8-10,9.0191,20.3362,0.00020022414674809034,0.00017101775013497544,0.58,33.89,8374.5,22.907
2.0,0.6,2,10-12,11.034,30.4375,0.0001851309958299935,0.00011535949559558239,0.72,50.73,12415.0,22.907
2.0,0.7,1,3-4,3.4081,11.615,0.0018009093275991516,0.000818682548478986,0.64,19.36,1221.47,91.635
2.0,0.7,1,5-6,5.4438,29.635,0.0005307815469402313,0.0003307425169510586,0.5,49.39,3023.5,91.629
2.0,0.7,1,6-8,7.037,49.52,0.0003201951331147923,0.00019952114924181964,0.55,82.53,5012.0,91.629
2.0,0.7,1,8-10,9.0191,81.345,0.00026844409494224336,0.00012203307096223079,0.66,135.57,8194.5,91.629
2.0,0.7,1,10-12,11.034,121.75,0.00013116616323427375,8.173273395995096e-05,0.57,202.92,12235.0,91.629
2.0,0.7,2,3-4,3.4081,2.9037,0.0016117557741712192,0.00073269448078394,0.67,4.26,1364.83,26.115
2.0,0.7,2,5-6,5.4438,7.4088,0.0006872825905377886,0.00031243453189107773,0.62,12.31,3200.67,22.976
2.0,0.7,2,6-8,7.037,12.38,0.00030909758587886873,0.00019260600547702333,0.52,20.63,5191.95,22.908
2.0,0.7,2,8-10,9.0191,20.3362,0.00026267420770425143,0.00011941011492771862,0.72,33.89,8374.5,22.907
2.0,0.7,2,10-12,11.034,30.4375,0.00012926443875735128,8.05477245268411e-05,0.6,50.73,12415.0,22.907
2.0,0.8,1,3-4,3.4081,11.615,0.000599656484890534,0.000512185490938071,0.51,19.36,1221.47,91.635
2.0,0.8,1,5-6,5.4438,29.635,0.0003320684039320636,0.00020691966468981037,0.63,49.39,3023.5,91.629
2.0,0.8,1,6-8,7.037,49.52,0.00014614230050213434,0.00012482474185727995,0.56,82.53,5012.0,91.629
2.0,0.8,1,8-10,9.0191,81.345,8.938497896353629e-05,7.634652586352886e-05,0.58,135.57,8194.5,91.629
2.0,0.8,1,10-12,11.034,121.75,5.986638415338755e-05,5.1133764298217176e-05,0.63,202.92,12235.0,91.629
2.0,0.8,2,3-4,3.4081,2.9037,0.0005366732168187533,0.0004583894979136347,0.55,4.26,1364.83,26.115
2.0,0.8,2,5-6,5.4438,7.4088,0.00016695349089904996,0.00019546579367050665,0.52,12.31,3200.67,22.976
2.0,0.8,2,6-8,7.037,12.38,0.00014107719827146568,0.00012049847850812239,0.54,20.63,5191.95,22.908
2.0,0.8,2,8-10,9.0191,20.3362,8.746375492059041e-05,7.470554789625506e-05,0.5,33.89,8374.5,22.907
2.0,0.8,2,10-12,11.034,30.4375,5.899840596997453e-05,5.039239679332624e-05,0.6,50.73,12415.0,22.907
